<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20111122,000000,238.0000000,240.0000000,225.3000000,226.6400000,107710
MTLRP,D,20111123,000000,229.2200000,233.6600000,226.2100000,226.2100000,109960
MTLRP,D,20111124,000000,229.7900000,232.9000000,228.0000000,230.0000000,38830
MTLRP,D,20111125,000000,232.9700000,233.0000000,223.9600000,227.0000000,102160
MTLRP,D,20111128,000000,229.0000000,237.8300000,229.0000000,237.2900000,116590
MTLRP,D,20111129,000000,235.0100000,237.9700000,233.0100000,236.4900000,28740
MTLRP,D,20111130,000000,236.4000000,248.9700000,234.7200000,247.0000000,89210
MTLRP,D,20111201,000000,249.9900000,251.1000000,241.0000000,250.5100000,93790
MTLRP,D,20111202,000000,249.7400000,255.4900000,248.0000000,251.0100000,87830
MTLRP,D,20111205,000000,250.0000000,256.0000000,249.0000000,253.0000000,79340
MTLRP,D,20111206,000000,250.0000000,258.0000000,240.0000000,242.4000000,124970
MTLRP,D,20111207,000000,246.9700000,246.9800000,232.1000000,236.5000000,66780
MTLRP,D,20111208,000000,239.9900000,242.5000000,236.0000000,238.3100000,37740
MTLRP,D,20111209,000000,235.0000000,238.9700000,231.0000000,235.9100000,27960
MTLRP,D,20111212,000000,238.0100000,245.0000000,226.0200000,229.0000000,49710
MTLRP,D,20111213,000000,228.0100000,231.9900000,221.0000000,221.9800000,118560
MTLRP,D,20111214,000000,221.6200000,223.0000000,213.1700000,215.9900000,149270
MTLRP,D,20111215,000000,215.3500000,217.7300000,210.0000000,216.0000000,171690
MTLRP,D,20111216,000000,215.7700000,219.0000000,208.7500000,209.0500000,186940
MTLRP,D,20111219,000000,209.0500000,212.6500000,207.0000000,209.9900000,73060
MTLRP,D,20111220,000000,208.0000000,209.9900000,203.0000000,206.0000000,74570
MTLRP,D,20111221,000000,206.0700000,213.9900000,201.9200000,204.5000000,59090
MTLRP,D,20111222,000000,201.9200000,205.0000000,198.0100000,199.9900000,56180
MTLRP,D,20111223,000000,200.5000000,203.2000000,198.0100000,198.9900000,21000
MTLRP,D,20111226,000000,201.0000000,203.9600000,199.9900000,200.9900000,23640
MTLRP,D,20111227,000000,202.9900000,203.0000000,196.3200000,199.0100000,45050
MTLRP,D,20111228,000000,197.0200000,201.0000000,194.9800000,196.9300000,59940
MTLRP,D,20111229,000000,194.9800000,197.9100000,192.0100000,194.0000000,51980
MTLRP,D,20111230,000000,198.0000000,202.9800000,195.0000000,202.9000000,69350
MTLRP,D,20120103,000000,201.0100000,206.9800000,201.0100000,206.5000000,59240
MTLRP,D,20120104,000000,202.2600000,206.9700000,202.0000000,203.9300000,24570
MTLRP,D,20120105,000000,204.8900000,209.0000000,201.0000000,203.0000000,79290
MTLRP,D,20120106,000000,204.8900000,205.6900000,200.9900000,203.0000000,71520
MTLRP,D,20120109,000000,203.8000000,203.9000000,199.5200000,200.0000000,39080
MTLRP,D,20120110,000000,201.0000000,205.0500000,200.0000000,204.8500000,103860
MTLRP,D,20120111,000000,203.5200000,207.0000000,203.5000000,205.0000000,28900
MTLRP,D,20120112,000000,206.0000000,216.3600000,205.5000000,212.0000000,56170
MTLRP,D,20120113,000000,214.9200000,217.6900000,212.2900000,212.3500000,90500
MTLRP,D,20120116,000000,208.0400000,214.0000000,205.0500000,213.9900000,26400
MTLRP,D,20120117,000000,215.0000000,219.9100000,215.0000000,219.8600000,67770
MTLRP,D,20120118,000000,219.0100000,224.7500000,217.6300000,224.7500000,54520
MTLRP,D,20120119,000000,224.8000000,229.5900000,222.1100000,227.9900000,100540
MTLRP,D,20120120,000000,229.0100000,229.8000000,226.0200000,227.9900000,45330
