<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20001110,000000,1076.0000000,1104.0000000,1071.0000000,1077.0000000,2903
SBER,D,20001113,000000,1056.0000000,1056.0000000,1018.0000000,1040.0000000,5494
SBER,D,20001114,000000,1060.0000000,1080.0000000,1036.0000000,1070.5200000,3720
SBER,D,20001115,000000,1082.0000000,1085.0000000,1045.0100000,1045.0100000,4733
SBER,D,20001116,000000,1050.0000000,1062.0000000,1040.0100000,1045.0000000,4753
SBER,D,20001117,000000,1050.0000000,1074.5000000,1050.0000000,1062.4000000,1907
SBER,D,20001120,000000,1050.0100000,1065.0000000,1031.1000000,1031.1000000,2228
SBER,D,20001121,000000,1020.0000000,1032.0000000,999.0000000,1009.0000000,6381
SBER,D,20001122,000000,1000.0000000,1014.0000000,940.0000000,960.0000000,13088
SBER,D,20001123,000000,955.0000000,978.9900000,920.0000000,937.0000000,7448
SBER,D,20001124,000000,950.0000000,970.0000000,942.5000000,957.0200000,3582
SBER,D,20001127,000000,988.0000000,1000.0000000,968.0000000,999.0000000,3329
SBER,D,20001128,000000,985.0000000,993.0000000,941.0000000,960.0000000,4183
SBER,D,20001129,000000,931.0000000,950.0000000,900.0000000,920.0000000,6891
SBER,D,20001130,000000,900.0000000,910.0000000,790.0000000,798.0000000,12128
SBER,D,20001201,000000,805.0000000,834.0000000,740.0000000,756.0100000,11240
SBER,D,20001204,000000,760.0000000,780.0000000,741.0000000,774.7000000,6761
SBER,D,20001205,000000,784.0000000,859.0000000,780.0000000,855.0000000,13314
SBER,D,20001206,000000,900.0000000,930.0000000,854.0000000,874.0000000,11393
SBER,D,20001207,000000,860.0000000,860.0000000,800.0500000,810.0000000,18226
SBER,D,20001208,000000,825.0000000,873.1000000,810.0000000,860.0000000,18235
SBER,D,20001209,000000,830.0000000,852.9900000,823.0100000,840.0000000,3521
SBER,D,20001213,000000,870.0000000,880.0000000,841.0000000,856.0000000,12203
SBER,D,20001214,000000,844.9900000,844.9900000,815.0000000,823.0000000,10016
SBER,D,20001215,000000,800.0000000,807.0000000,745.0000000,745.0000000,18394
SBER,D,20001218,000000,760.0000000,786.9900000,740.0000000,786.9000000,8771
SBER,D,20001219,000000,781.0000000,795.0000000,770.0100000,775.0000000,7953
SBER,D,20001220,000000,770.0000000,770.0000000,710.0000000,713.0000000,9697
SBER,D,20001221,000000,672.0000000,705.9000000,621.0000000,685.9999900,15752
SBER,D,20001222,000000,701.0000000,728.0000000,685.0000000,725.0000000,12663
SBER,D,20001225,000000,739.0000000,739.9900000,716.5100000,717.0000000,15699
SBER,D,20001226,000000,720.0000000,720.0000000,690.0000000,693.0000000,14118
SBER,D,20001227,000000,690.0000000,729.0000000,682.0000000,700.5000000,16758
SBER,D,20001228,000000,718.0000000,718.0000000,693.0000000,700.0000000,18843
SBER,D,20010103,000000,680.0000000,684.0000000,630.0000000,645.9999900,5000
SBER,D,20010104,000000,689.0000000,707.0000000,670.1000000,690.0000000,4731
